Covidence..;param1;param2;modelparam1;modelparam2;data_collection_start;data_collection_end
3935;4,6;3,8;1,335001067;0,61815085;20_1;20_1
4161;7,48;7;1,945910149;0,364205005;20_1;20_1
3785;6,5;5,8;1,757857918;0,477376705;20_1;20_1
3555;9,1;8,5;2,140066163;0,369346044;20_1;20_1
3866;6,38;5,41;1,688249093;0,574315252;20_1;21_1
5618;6,4;5,7;1,740466175;0,481314482;21_1;21_1
3466;7,8;4,7;1,547562509;1,00653984;20_1;20_1
4286;3,9;3;1,098612289;0,72438148;20_1;20_1
3693;8,5;8,3;2,116255515;0,218223045;20_1;20_1
7484;6,5;6,02;1,795087259;0,391701206;21_1;21_1
3832;5,6;5;1,609437912;0,476085466;20_1;20_1
4157;7,04;6;1,791759469;0,5654179;20_1;20_1
4179;5,8;5,1;1,62924054;0,507183158;20_1;20_1
5132;5,84;5,01;1,611435915;0,553705484;20_1;20_1
3740;8,29;7,76;2,048982334;0,363504154;20_1;20_1
3988;5,3;4,6;1,526056303;0,532260307;20_1;20_1
4171;5,54;5;1,609437912;0,452894222;20_1;20_1
4233;4,5;3;1,098612289;0,900516639;20_1;20_1
4188;6,3;5,7;1,740466175;0,447400176;20_1;20_1
4130;7,43;7;1,945910149;0,345299029;20_1;20_1
3443;6,9;5,8;1,757857918;0,589344541;20_1;20_1
4027;5,8;4,3;1,458615023;0,773618633;20_1;20_1
4231;8,98;8;2,079441542;0,480745963;20_1;20_1
3983;8,58;8;2,079441542;0,374145351;20_1;20_1
3457;6,3;5,4;1,686398954;0,555248917;20_1;20_1
3900;7,8;5,01;1,611435915;0,940944014;20_1;20_1
7671;6,51;5,33;1,673351238;0,63000149;20_1;20_1
3583;6,8;6;1,791759469;0,50032618;20_1;20_1
